常化酸洗APL
可逆轧制RCM 1#
中间退火及脱碳退火DCL1
热拉伸平整FCL
取向硅钢精整机组（1期）
可逆轧制RCM 2#
高温环形炉RBAF
中间退火及脱碳退火DCL2
热拉伸平整机组(２期)
硅钢轧机
高温环形退火炉(２期)
3# 取向硅钢脱碳退火机组(２期)
3#热拉伸机组(FCL-3)
3#电工钢
4#单机架可逆轧机(RCM-4)
3#高温环形炉(RBAF-3)
4#脱碳退火机组(DCL-4)
4#电工钢
5#单机架可逆轧机(RCM-5)
5#无取向硅钢退火机组(SACL-5)
